matched_2021,new_item_2022,food_category,restaurant,serving_size,serving_size_text,serving_size_unit,serving_size_household,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,potassium
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,120,5,2.5,0,15,290,14,6,2,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,110,3,1.5,0,10,280,14,6,3,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,140,5,2.5,0,15,270,17,6,1,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,130,3.5,1.5,0,15,270,17,6,5,,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,110,4.5,2,0,15,270,13,5,2,,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,120,3.5,1.5,0,10,260,17,6,1,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,140,4,2,0,15,250,20,6,4,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,130,5,2,0,10,250,16,6,,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,110,3.5,2,0,10,250,13,5,2,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,100,3,1.5,0,10,250,14,5,2,1,
1,0,Pizza,Pizza Hut,0.125,,pizza,Small,120,3.5,1.5,0,10,230,17,5,1,1,
0,1,Entrees,Romano's Macaroni & Grill,,,,Small,2620,165,25,0.5,190,"4, 280",36,10,24,250,
0,1,Entrees,Romano's Macaroni & Grill,,,,Small,2020,4,1,0,190,"3, 200",266,10,228,249,
0,1,Entrees,Romano's Macaroni & Grill,,,,Small,2160,129,28,2,525,7560,69,7,32,179,
0,1,Entrees,Romano's Macaroni & Grill,,,,Small,2650,215,43,0,0,5010,29,1,16,188,
1,0,Appetizers & Sides,Sonic,,,,Small,330,28,8,1,35,1340,37,2,2,9,
