restaurant,calories,total_fat,cholesterol,sodium,carbohydrates,dietary_fiber,sugar,protein,cuisine
Applebee's,190,0.0,0,60,50,0,48,0,american restaurant
Applebee's,290,0.0,0,90,74,0,72,0,american restaurant
Applebee's,260,0.0,0,0,65,0,55,0,american restaurant
Applebee's,280,0.0,0,10,71,2,69,0,american restaurant
Applebee's,630,0.0,0,55,127,0,117,1,american restaurant
Applebee's,9300,498.0,575,18400,923,61,240,290,american restaurant
Applebee's,8270,479.0,1480,17890,618,55,71,391,american restaurant
Applebee's,6530,356.0,450,15410,624,46,147,211,american restaurant
Applebee's,5220,273.0,495,14310,501,38,132,188,american restaurant
Applebee's,7740,477.0,830,17770,580,41,88,293,american restaurant
Applebee's,8810,467.0,945,19400,778,64,276,379,american restaurant
Applebee's,11410,635.0,1305,26990,956,68,314,477,american restaurant
Applebee's,1160,57.0,100,2720,115,10,11,47,american restaurant
Applebee's,720,34.0,50,1780,77,7,0,26,american restaurant
Applebee's,980,45.0,155,3070,120,10,21,27,american restaurant
Applebee's,660,28.0,75,2200,86,7,10,17,american restaurant
Applebee's,1140,66.0,180,1640,69,7,14,69,american restaurant
Applebee's,710,38.0,85,1240,54,5,1,37,american restaurant
Applebee's,1080,86.0,270,3160,14,2,3,62,american restaurant
Applebee's,1080,85.0,270,3110,15,2,4,62,american restaurant
Applebee's,1140,81.0,100,2770,59,4,2,42,american restaurant
Applebee's,1130,81.0,105,2730,60,4,4,42,american restaurant
Applebee's,1120,69.0,170,2820,78,5,7,45,american restaurant
Applebee's,1550,125.0,250,3110,48,4,7,58,american restaurant
Applebee's,1620,131.0,240,3710,50,4,3,59,american restaurant
Applebee's,1610,130.0,240,3660,51,4,5,59,american restaurant
Applebee's,400,0.0,0,75,68,0,61,0,american restaurant
Applebee's,300,0.0,0,60,2,0,38,1,american restaurant
Applebee's,710,35.0,110,350,88,1,60,12,american restaurant
Applebee's,360,7.0,0,40,74,2,70,0,american restaurant
Applebee's,900,37.0,145,340,127,2,99,16,american restaurant
Applebee's,810,36.0,145,330,107,1,83,14,american restaurant
Applebee's,710,36.0,145,310,83,0,61,14,american restaurant
Applebee's,90,0.0,0,30,26,0,26,0,american restaurant
Applebee's,40,0.0,0,25,11,0,11,0,american restaurant
Applebee's,60,0.0,0,40,17,0,17,0,american restaurant
Applebee's,110,0.0,0,40,31,0,31,0,american restaurant
Applebee's,170,0.0,0,60,46,0,46,0,american restaurant
Applebee's,190,0.0,0,60,50,0,48,0,american restaurant
Applebee's,290,0.0,0,85,74,0,72,0,american restaurant
Applebee's,430,8.0,0,45,89,2,84,0,american restaurant
Applebee's,470,8.0,0,55,98,2,93,0,american restaurant
Applebee's,290,0.0,0,10,74,0,64,0,american restaurant
Applebee's,50,0.0,0,10,14,0,12,0,american restaurant
Applebee's,80,0.0,0,15,20,0,18,0,american restaurant
Applebee's,60,0.0,0,10,14,0,13,0,american restaurant
Applebee's,80,0.0,0,15,21,0,19,0,american restaurant
Applebee's,180,0.0,0,35,20,0,19,0,american restaurant
Applebee's,150,0.0,0,0,12,0,11,0,american restaurant
Applebee's,260,0.0,0,350,38,0,30,0,american restaurant
Applebee's,230,0.0,0,10,36,1,30,0,american restaurant
Applebee's,1610,111.0,130,2830,99,7,12,57,american restaurant
Applebee's,1050,56.0,25,2600,100,12,9,37,american restaurant
Applebee's,1400,95.0,120,2850,91,8,7,48,american restaurant
Applebee's,1620,62.0,30,1060,248,8,155,22,american restaurant
Applebee's,1040,59.0,160,910,116,2,71,13,american restaurant
Applebee's,1520,54.0,10,840,247,4,178,17,american restaurant
Applebee's,1520,104.0,110,4290,107,9,6,38,american restaurant
Applebee's,50,0.0,0,10,13,0,11,0,american restaurant
Applebee's,480,24.0,0,1350,58,5,0,7,american restaurant
Applebee's,770,39.0,0,2150,93,8,0,11,american restaurant
Applebee's,1260,72.0,110,3090,110,8,8,45,american restaurant
Applebee's,1120,58.0,175,2900,91,7,8,61,american restaurant
Applebee's,1330,61.0,85,3500,157,9,48,40,american restaurant
Applebee's,1190,47.0,155,3310,138,9,47,55,american restaurant
Applebee's,190,2.5,150,690,0,0,0,40,american restaurant
Applebee's,110,11.0,0,1350,1,0,0,0,american restaurant
Applebee's,110,11.0,0,1350,2,0,0,0,american restaurant
Applebee's,210,21.0,10,370,2,0,0,2,american restaurant
Applebee's,100,0.0,0,410,24,1,20,0,american restaurant
Applebee's,120,0.0,0,95,29,0,26,0,american restaurant
Applebee's,260,0.0,0,1090,63,4,53,1,american restaurant
Applebee's,350,3.5,0,1930,74,2,61,4,american restaurant
Applebee's,45,0.0,0,5,12,0,10,0,american restaurant
Arby's,470,19.0,70,1230,45,3,9,29,sandwich
Arby's,380,25.0,10,270,35,1,12,4,sandwich
Arby's,570,25.0,60,1390,45,2,4,42,sandwich
Arby's,110,0.0,0,10,29,0,27,0,sandwich
Arby's,150,0.0,0,10,38,0,36,0,sandwich
Arby's,240,0.0,0,20,64,0,60,0,sandwich
Arby's,150,0.0,0,10,38,0,35,0,sandwich
Arby's,200,0.0,0,10,51,0,48,0,sandwich
Arby's,310,0.0,0,20,81,0,77,0,sandwich
Arby's,150,0.0,0,10,38,0,36,0,sandwich
Arby's,200,0.0,0,10,52,0,49,0,sandwich
Arby's,320,0.0,0,20,83,0,78,0,sandwich
Arby's,610,30.0,65,1400,58,4,7,28,sandwich
